,ImageID,predict_bbox,gt_bbox,IoU_threshold,T,P,IoU,ap,mAP
0,Y2BB_extracted_dataset/airplane_for_test_medium/13+-9AbB-h7c1Y+01+0472000+1.jpg,[],"[{'class': 'airplane', 'x1': 111.412, 'x2': 219.28199999999998, 'y1': 63.6, 'y2': 115.59999599999999, 'bbox_matched': False}]",0.5,"{'airplane': [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]}","{'airplane': [0, 0.82014877, 0.708235, 0, 0.7730564, 0.7127525, 0, 0, 0.7264829, 0.5467391, 0, 0, 0, 0.8376252, 0.53926283, 0.53347874, 0, 0.7646174, 0, 0, 0.5751471, 0, 0.5896258, 0.510121, 0.77450013, 0, 0, 0, 0.5630091, 0]}",0,[1.0],1.0
1,Y2BB_extracted_dataset/airplane_for_test_medium/13+-e5nPWhRwdg+00+0166000+1.jpg,"[{'x1': 32, 'x2': 608, 'y1': 176, 'y2': 368, 'class': 'airplane', 'prob': 0.82014877}, {'x1': 192, 'x2': 496, 'y1': 160, 'y2': 256, 'class': 'airplane', 'prob': 0.708235}]","[{'class': 'airplane', 'x1': 176.64, 'x2': 357.6, 'y1': 151.2, 'y2': 189.0, 'bbox_matched': False}]",0.5,"{'airplane': [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]}","{'airplane': [0, 0.82014877, 0.708235, 0, 0.7730564, 0.7127525, 0, 0, 0.7264829, 0.5467391, 0, 0, 0, 0.8376252, 0.53926283, 0.53347874, 0, 0.7646174, 0, 0, 0.5751471, 0, 0.5896258, 0.510121, 0.77450013, 0, 0, 0, 0.5630091, 0]}",0.3924811872110623,[0.5],0.5
2,Y2BB_extracted_dataset/airplane_for_test_medium/13+-fYp8Dr3wR0+03+0359000+1.jpg,"[{'x1': 224, 'x2': 384, 'y1': 192, 'y2': 272, 'class': 'airplane', 'prob': 0.7730564}, {'x1': 288, 'x2': 384, 'y1': 192, 'y2': 256, 'class': 'airplane', 'prob': 0.7127525}]","[{'class': 'airplane', 'x1': 149.12, 'x2': 238.08000000000004, 'y1': 118.8, 'y2': 156.0, 'bbox_matched': True}]",0.5,"{'airplane': [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]}","{'airplane': [0, 0.82014877, 0.708235, 0, 0.7730564, 0.7127525, 0, 0, 0.7264829, 0.5467391, 0, 0, 0, 0.8376252, 0.53926283, 0.53347874, 0, 0.7646174, 0, 0, 0.5751471, 0, 0.5896258, 0.510121, 0.77450013, 0, 0, 0, 0.5630091, 0]}",0.5551086198276087,[0.5],0.5
3,Y2BB_extracted_dataset/airplane_for_test_medium/13+0V2ixO7vrjs+01+0144000+1.jpg,[],"[{'class': 'airplane', 'x1': 132.84, 'x2': 258.3, 'y1': 144.6000012, 'y2': 184.79998799999998, 'bbox_matched': False}]",0.5,"{'airplane': [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]}","{'airplane': [0, 0.82014877, 0.708235, 0, 0.7730564, 0.7127525, 0, 0, 0.7264829, 0.5467391, 0, 0, 0, 0.8376252, 0.53926283, 0.53347874, 0, 0.7646174, 0, 0, 0.5751471, 0, 0.5896258, 0.510121, 0.77450013, 0, 0, 0, 0.5630091, 0]}",0,[0.5535714285714286],0.5535714285714286
4,Y2BB_extracted_dataset/airplane_for_test_medium/13+0kK-SKGH7hc+00+0259000+1.jpg,[],"[{'class': 'airplane', 'x1': 127.68, 'x2': 229.92, 'y1': 128.399994, 'y2': 179.39999880000002, 'bbox_matched': False}]",0.5,"{'airplane': [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]}","{'airplane': [0, 0.82014877, 0.708235, 0, 0.7730564, 0.7127525, 0, 0, 0.7264829, 0.5467391, 0, 0, 0, 0.8376252, 0.53926283, 0.53347874, 0, 0.7646174, 0, 0, 0.5751471, 0, 0.5896258, 0.510121, 0.77450013, 0, 0, 0, 0.5630091, 0]}",0,[0.6],0.6
5,Y2BB_extracted_dataset/airplane_for_test_medium/13+1FusH4o2PN4+00+0017000+1.jpg,"[{'x1': 240, 'x2': 464, 'y1': 176, 'y2': 272, 'class': 'airplane', 'prob': 0.7264829}, {'x1': 192, 'x2': 496, 'y1': 208, 'y2': 304, 'class': 'airplane', 'prob': 0.5467391}]","[{'class': 'airplane', 'x1': 129.60000000000002, 'x2': 250.24, 'y1': 116.39999999999999, 'y2': 166.399992, 'bbox_matched': True}]",0.5,"{'airplane': [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]}","{'airplane': [0, 0.82014877, 0.708235, 0, 0.7730564, 0.7127525, 0, 0, 0.7264829, 0.5467391, 0, 0, 0, 0.8376252, 0.53926283, 0.53347874, 0, 0.7646174, 0, 0, 0.5751471, 0, 0.5896258, 0.510121, 0.77450013, 0, 0, 0, 0.5630091, 0]}",0.5213573862134966,[0.5944444444444444],0.5944444444444444
6,Y2BB_extracted_dataset/airplane_for_test_medium/13+1ts_Fz855WE+01+0072000+1.jpg,[],"[{'class': 'airplane', 'x1': 228.48000000000002, 'x2': 428.16, 'y1': 227.92666428, 'y2': 266.71, 'bbox_matched': False}]",0.5,"{'airplane': [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]}","{'airplane': [0, 0.82014877, 0.708235, 0, 0.7730564, 0.7127525, 0, 0, 0.7264829, 0.5467391, 0, 0, 0, 0.8376252, 0.53926283, 0.53347874, 0, 0.7646174, 0, 0, 0.5751471, 0, 0.5896258, 0.510121, 0.77450013, 0, 0, 0, 0.5630091, 0]}",0,[0.6212121212121211],0.6212121212121211
7,Y2BB_extracted_dataset/airplane_for_test_medium/13+227HZwlTfIk+00+0030000+1.jpg,[],"[{'class': 'airplane', 'x1': 168.96, 'x2': 336.0, 'y1': 130.20000480000002, 'y2': 163.200006, 'bbox_matched': False}]",0.5,"{'airplane': [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]}","{'airplane': [0, 0.82014877, 0.708235, 0, 0.7730564, 0.7127525, 0, 0, 0.7264829, 0.5467391, 0, 0, 0, 0.8376252, 0.53926283, 0.53347874, 0, 0.7646174, 0, 0, 0.5751471, 0, 0.5896258, 0.510121, 0.77450013, 0, 0, 0, 0.5630091, 0]}",0,[0.6458333333333334],0.6458333333333334
8,Y2BB_extracted_dataset/airplane_for_test_medium/13+243BzpfsPpo+00+0026000+1.jpg,[],"[{'class': 'airplane', 'x1': 257.76, 'x2': 356.15999999999997, 'y1': 144.0, 'y2': 172.1999952, 'bbox_matched': False}]",0.5,"{'airplane': [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]}","{'airplane': [0, 0.82014877, 0.708235, 0, 0.7730564, 0.7127525, 0, 0, 0.7264829, 0.5467391, 0, 0, 0, 0.8376252, 0.53926283, 0.53347874, 0, 0.7646174, 0, 0, 0.5751471, 0, 0.5896258, 0.510121, 0.77450013, 0, 0, 0, 0.5630091, 0]}",0,[0.6680911680911681],0.6680911680911681
9,Y2BB_extracted_dataset/airplane_for_test_medium/13+2EDK1466Xcg+00+0003000+1.jpg,"[{'x1': 208, 'x2': 448, 'y1': 224, 'y2': 304, 'class': 'airplane', 'prob': 0.8376252}, {'x1': 288, 'x2': 352, 'y1': 192, 'y2': 320, 'class': 'airplane', 'prob': 0.53926283}, {'x1': 112, 'x2': 512, 'y1': 192, 'y2': 304, 'class': 'airplane', 'prob': 0.53347874}]","[{'class': 'airplane', 'x1': 152.32000000000002, 'x2': 249.28, 'y1': 118.0000008, 'y2': 171.9999936, 'bbox_matched': True}]",0.5,"{'airplane': [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]}","{'airplane': [0, 0.82014877, 0.708235, 0, 0.7730564, 0.7127525, 0, 0, 0.7264829, 0.5467391, 0, 0, 0, 0.8376252, 0.53926283, 0.53347874, 0, 0.7646174, 0, 0, 0.5751471, 0, 0.5896258, 0.510121, 0.77450013, 0, 0, 0, 0.5630091, 0]}",0.5538689021841692,[0.6791666666666666],0.6791666666666666
